         Available Data items for the following Database Selection:

          DATABASES: Special Merger Sectors (Aus/NZ) (MA, OMA, IMA)
          MA   - Mergers & Acquisitions
Number of Acquiror Financial Advisors                                   AACOUNT                        
Number of Acquiror Stock Exchange Listings                              NAEXCH                         
Number of Acquiror Ultimate Parent Stock Exchange Listings              NAPAEXCH                       
Number of Bidders                                                       BIDCOUNT                       
Number of Consideration Types Offered                                   COUNT_CONSIDO                  
Number of Consideration Types Sought                                    COUNT_CONSIDS                  
Number of Cvt Securities that are Convertible into Common Stock         CONVERTIBLES                   
Number of Days between Date Announced and Rank Date                     RANKDATE_DAYS                  
Number of Days between Date Originally Announced and Date Announced     DATEANNORIG_DAYS               
Number of days between IPO and Acquisition                              NUM_DAYS_IPO_TO_ACQ            
Number of Fairness Opinions Available                                   FO_COUNT                       
Number of Investors                                                     INVESTORCOUNT                  
Number of Stock Options Reserved for Issuance (Mil)                     OPTIONS                        
Number of Target & Acquiror Financial Advisors                          ADVCOUNT                       
Number of Target Financial Advisors                                     TACOUNT                        
Number of Target or Acquiror Legal Advisors                             NUMTLEGALEG                    
Number of Target Stock Exchange Listings                                NTEXCH                         
Number of Target Ultimate Parent Stock Exchange Listings                NTPAEXCH                       
Number of Tender Offer Extensions                                       EXTEN                          
Offer Price to Target Stock Price Prem. 4 Weeks Prior to Announcement   PREM4WK                        
Offer Price to Target Stock Price Premium 1 Day Prior to Announcement   PREM1DAY                       
Offer Price to Target Stock Price Premium 1 Week Prior to Announcement  PREM1WK                        
Open Market Purchase Flag (Y/N)                                         OMKT                           
Ordinary Shares Irrevocably Committed to Tender Offer (Mil)             ORDSHSIRVC                     
Other Fiduciary Termination Basis (UPPER CASE)                          FIDUC_TERM_OTHER_UPPER         
Outcome (Code)                                                          OUTC                           
Passenger Miles Flown (Mil)                                             MILES                          
Percent Change Final Offer Price to Initial Offer Price                 PRPCTCHG                       
Percent of Acquiror Shares Issued                                       PCTSHSISS                      
Percent of Shares Acquired in Transaction                               PCTACQ                         
Percent of Shares Acquiror is Seeking to Own after Transaction          PSOUGHTOWN                     
Percent of Shares Acquiror is Seeking to Purchase in Transaction        PSOUGHT                        
Percent of Shares Held at Announcement                                  PHDA                           
Percent of Shares Held by Acquiror 6 Months Prior to Announcement       PHELD                          
Percent of Shares Owned after Transaction                               PCTOWN                         
Percent of Shares Sought in Tender Offer                                PSOUGHTT                       
Percent of Shares Tendered in Tender Offer                              PTEN                           
Percent of Voting Control Acquired in Transaction                       VOTECONTROL                    
Percent Owned by Acquiror Post Merger                                   A_POSTMERGE_OWN_PCT            
Percent Owned by Target Post Merger                                     T_POSTMERGE_OWN_PCT            
Percentage of Cash                                                      PCT_CASH                       
Percentage of Other                                                     PCT_OTHER                      
Percentage of Stock                                                     PCT_STK                        
Percentage of Unknown                                                   PCT_UNKNOWN                    
Pooling of Interests Flag (Y/N)                                         POOLING                        
Portfolio Company Activity Flag (Y/N)                                   PORTFOLIO_INVOLV_YN            
Portfolio Company Cusip                                                 PORTFOLIO_COMPANY_CUSIP        
Portfolio Company Role                                                  PORTFOLIO_COMPANY_ROLE         
Preference Share Price ($)                                              PRPREF                         
Preference Share Price of Alternative Offer ($)                         PRALTPREF                      
Preference Shares Accepted (Mil)                                        PREFACC                        
Preference Shares Outstanding (Mil)                                     PREFOUT                        
Preference Shares Tendered (Mil)                                        PREFTEN                        
Preferred Dividends Last Twelve Months (Host Mil)                       HOSTPFDDVLTM                   
Preferred Dividends LTM ($ mil)                                         PFDDVLTM                       
Preferred Equity Last Twelve Months ($ Mil)                             PFDEQ                          
Preferred Equity Last Twelve Months (Euro Mil)                          EURO_PFDEQUITY                 
Preferred Equity Last Twelve Months (Host Mil)                          HOSTPFDEQUITY                  
Pre-Tax Income 3 Year Growth Rate (%)                                   PTINC3YGR                      
Pre-Tax Income 5 Year Growth Rate (%)                                   PTINC5YGR                      
Pre-tax Income Last Twelve Months ($ Mil)                               PTINC                          
Pre-Tax Income Last Twelve Months (Euro mil)                            EURO_PTINCLTM                  
Pre-Tax Income Last Twelve Months (Host Mil)                            HOSTPTINCLTM                   
Primary Escrow % of Rank Value                                          ESCROW1_PCT                    
Primary Escrow Basis (UPPER CASE)                                       ESCROW1_BASIS_UPPER            
Primary Escrow Period (Months)                                          ESCROW1_PERIOD                 
Primary Escrow Total (Host)                                             ESCROW1_AMT                    
Primary Escrow Total (USD)                                              ESCROW1_AMT_USD                
Private Tender Offer                                                    PTO                            
Privately Negotiated Purchase Flag (Y/N)                                PRIVNEG                        
Privatization Flag (Y/N)                                                PRIVATIZATION                  
Property, Plant & Equip 1 Year Prior ($ Mil)                            PPE1                           
Property, Plant & Equip 2 Years Prior ($ Mil)                           PPE2                           
Property, Plant & Equip 3 Years Prior ($ Mil)                           PPE3                           
Property, Plant & Equip 4 Years Prior ($ Mil)                           PPE4                           
Property, Plant & Equip 5 Years Prior ($ Mil)                           PPE5                           
Property, Plant & Equip Most Recent Quarter ($ Mil)                     PPELQ                          
Property, Plant & Equip Same Quarter 1 Year Prior ($ Mil)               PPEFQ                          
Property, Plant & Equipment ($ Mil)                                     PPE                            
Proxy Fight Flag (Y/N)                                                  PROXYF                         
Purpose Code                                                            PURPOSE_CODE                   
Rank Date                                                               R_DATE                         
Rank Value inc. Net Debt of Target (Yen mil)                            RANK_RANKYENVAL                
Ranking Ineligible Flag (Y/N)                                           RANK_FA_INELIGIBLE             
Ranking Value Flag (Y/N)                                                RANKVAL_FLAG                   
Ranking Value inc. Net Debt of Target ($ Mil)                           RANK_RANKVAL                   
Ranking Value inc. Net Debt of Target ($Mil)                            RANKVAL                        
Ranking Value inc. Net Debt of Target (Euro mil)                        EURO_RANKVAL                   
Ranking Value inc. Net Debt of Target (Host mil)                        HOST_RANKVAL                   
Ranking Value inc. Net Debt of Target (Pounds Sterling)                 RANK_RANKSTGVAL                
Ranking Value inc. Net Debt of Target at Effective Date ($ Mil)         RANKVALEFF                     
Ratio of Deal Val exc. Assum Liab to Forecast EBIT Current Fisc Yr      VALNOLIAFORECASTEDEBIT1        
Ratio of Deal Val exc. Assum Liab to Forecast EBIT Next 12 Months       VALNOLIAFORECASTEDEBITNTM      
Ratio of Deal Val exc. Assum Liab to Forecast EBITDA Current Fisc Yr    VALNOLIAFORECASTEDCF1          
Ratio of Deal Val exc. Assum Liab to Forecast EBITDA Next 12 Months     VALNOLIAFORECASTEDCFNTM        
Ratio of Deal Val exc. Assum Liab to Forecast EBITDA Yr 2               VALNOLIAFORECASTEDCF2          
Ratio of Deal Val exc. Assum Liab to Forecast Net Inc Current Fisc Yr   VALNOLIAFORECASTEDNI1          
Ratio of Deal Val exc. Assum Liab to Forecast Net Inc Next 12 Months    VALNOLIAFORECASTEDNINTM        
Ratio of Deal Val exc. Assum Liab to Forecast Net Inc Yr 2              VALNOLIAFORECASTEDNI2          
Ratio of Deal Val exc. Assum Liab to Forecast PreTax Inc Curr Fisc Yr   VALNOLIAFORECASTEDPTINC1       
Ratio of Deal Val exc. Assum Liab to Forecast PreTax Inc Nxt 12 Mths    VALNOLIAFORECASTEDPTINCNTM     
Ratio of Deal Val exc. Assum Liab to Forecast PreTax Inc Yr 2           VALNOLIAFORECASTEDPTINC2       
Ratio of Deal Val exc. Assum Liab to Forecast Sales Current Fisc Yr     VALNOLIAFORECASTEDSALES1       
Ratio of Deal Val exc. Assum Liab to Forecast Sales Next 12 Months      VALNOLIAFORECASTEDSALESNTM     
Ratio of Deal Value exc. Assumed Liabilities to EBIT                    VALNOLIAEBIT                   
Ratio of Deal Value exc. Assumed Liabilities to EBITDA                  VALNOLIACF                     
Ratio of Deal Value exc. Assumed Liabilities to Forecasted EBIT Year 2  VALNOLIAFORECASTEDEBIT2        
Ratio of Deal Value exc. Assumed Liabilities to Forecasted Sales Year 2 VALNOLIAFORECASTEDSALES2       
Ratio of Deal Value exc. Assumed Liabilities to Net Income              VALNOLIANI                     
Ratio of Deal Value exc. Assumed Liabilities to Pre-Tax Income          VALNOLIAPTINC                  
Ratio of Deal Value exc. Assumed Liabilities to Sales                   VALNOLIASALES                  
Ratio of Deal Value to Common Equity                                    VALCOMEQ                       
Ratio of Deal Value to EBIT                                             EBITMULT                       
Ratio of Deal Value to EBITDA                                           CFMULT                         
Ratio of Deal Value to Forecasted EBIT Current Fiscal Year              VALFORECASTEDEBITMULT1         
Ratio of Deal Value to Forecasted EBIT Next Twelve Months               VALFORECASTEDEBITMULTNTM       
Ratio of Deal Value to Forecasted EBIT Year 2                           VALFORECASTEDEBITMULT2         
Ratio of Deal Value to Forecasted EBITDA Current Fiscal Year            VALFORECASTEDCFMULT1           
Ratio of Deal Value to Forecasted EBITDA Next Twelve Months             VALFORECASTEDCFMULTNTM         
Ratio of Deal Value to Forecasted EBITDA Year 2                         VALFORECASTEDCFMULT2           
Ratio of Deal Value to Forecasted Net Income Current Fiscal Year        VALFORECASTEDNI1               
Ratio of Deal Value to Forecasted Net Income Next Twelve Months         VALFORECASTEDNINTM             
Ratio of Deal Value to Forecasted Net Income Year 2                     VALFORECASTEDNI2               
Ratio of Deal Value to Forecasted Sales Current Fiscal Year             VALFORECASTEDSALES1            
Ratio of Deal Value to Forecasted Sales Next Twelve Months              VALFORECASTEDSALESNTM          
Ratio of Deal Value to Forecasted Sales Year 2                          VALFORECASTEDSALES2            
Ratio of Deal Value to Net Assets                                       VALNA                          
Ratio of Deal Value to Net Income                                       VALNI                          
Ratio of Deal Value to Sales                                            VALSALES                       
Ratio of EBIT to Assets 3 Year Growth Rate                              EBASSETS3YGR                   
Ratio of EBIT to Return on Assets                                       EBITROA                        
Ratio of EBIT to Sale 3 Year Growth Rate                                EBSALES3YGR                    
Ratio of EBITDA to Return on Assets                                     CFROA                          
Ratio of Enterprise Val to Forecasted Pre-Tax Income Current Fisc Yr    ENTVALFORECASTEDPTINC1         
Ratio of Enterprise Val to Forecasted Pre-Tax Income Next 12 Months     ENTVALFORECASTEDPTINCNTM       
Ratio of Enterprise Value at Effective Date to Assets                   EV2ASSC                        
Ratio of Enterprise Value at Effective Date to EBIT                     EV2EBIT                        
Ratio of Enterprise Value at Effective Date to EBITDA                   EV2CF                          
Ratio of Enterprise Value at Effective Date to Sales                    EV2SALES                       
Ratio of Enterprise Value to Capitalization                             EVCAP                          
Ratio of Enterprise Value to EBIT                                       EVEBIT                         
Ratio of Enterprise Value to EBITDA                                     EVCF                           
Ratio of Enterprise Value to Forecasted EBIT Current Fiscal Year        ENTVALFORECASTEDEBIT1          
Ratio of Enterprise Value to Forecasted EBIT Next Twelve Months         ENTVALFORECASTEDEBITNTM        
Ratio of Enterprise Value to Forecasted EBIT Year 2                     ENTVALFORECASTEDEBIT2          
Ratio of Enterprise Value to Forecasted EBITDA Current Fiscal Year      ENTVALFORECASTEDCF1            
Ratio of Enterprise Value to Forecasted EBITDA Next Twelve Months       ENTVALFORECASTEDCFNTM          
Ratio of Enterprise Value to Forecasted EBITDA Year 2                   ENTVALFORECASTEDCF2            
Ratio of Enterprise Value to Forecasted Net Income Current Fiscal Year  ENTVALFORECASTEDNI1            
Ratio of Enterprise Value to Forecasted Net Income Next Twelve Months   ENTVALFORECASTEDNINTM          
Ratio of Enterprise Value to Forecasted Net Income Year 2               ENTVALFORECASTEDNI2            
Ratio of Enterprise Value to Forecasted Pre-Tax Income Year 2           ENTVALFORECASTEDPTINC2         
Ratio of Enterprise Value to Forecasted Sales Current Fiscal Year       ENTVALFORECASTEDSALES1         
Ratio of Enterprise Value to Forecasted Sales Next Twelve Months        ENTVALFORECASTEDSALESNTM       
Ratio of Enterprise Value to Forecasted Sales Year 2                    ENTVALFORECASTEDSALES2         
Ratio of Enterprise Value to Net Assets                                 ENTVALNA                       
Ratio of Enterprise Value to Net Income                                 EVNI                           
Ratio of Enterprise Value to Pre-Tax Income                             ENTVALPTINC                    
Ratio of Enterprise Value to Sales                                      EVSALES                        
Ratio of Enterprise Value to Tangible Book Value                        EVTBV                          
Ratio of Equity Value at Announcement to EBITDA                         EQVALCF                        
Ratio of Equity Value at Effective Date to Common Equity                EQVAL2COMEQ                    
Ratio of Equity Value at Effective Date to Net Income                   EQVAL2NI                       
Ratio of Equity Value to Common Equity                                  EQVALCOMEQ                     
Ratio of Equity Value to EBIT                                           EQVALEBIT                      
Ratio of Equity Value to Forecasted EBIT Current Fiscal Year            EQVALFORECASTEDEBIT1           
Ratio of Equity Value to Forecasted EBIT Next Twelve Months             EQVALFORECASTEDEBITNTM         
Ratio of Equity Value to Forecasted EBIT Year 2                         EQVALFORECASTEDEBIT2           
Ratio of Equity Value to Forecasted EBITDA Current Fiscal Year          EQVALFORECASTEDCF1             
Ratio of Equity Value to Forecasted EBITDA Next Twelve Months           EQVALFORECASTEDCFNTM           
Ratio of Equity Value to Forecasted EBITDA Year 2                       EQVALFORECASTEDCF2             
Ratio of Equity Value to Forecasted Net Income Current Fiscal Year      EQVALFORECASTEDNI1             
Ratio of Equity Value to Forecasted Net Income Next Twelve Months       EQVALFORECASTEDNINTM           
Ratio of Equity Value to Forecasted Net Income Year 2                   EQVALFORECASTEDNI2             
Ratio of Equity Value to Forecasted Pre-Tax Income Current Fiscal Year  EQVALFORECASTEDPTINC1          
Ratio of Equity Value to Forecasted Pre-Tax Income Next Twelve Months   EQVALFORECASTEDPTINCNTM        
Ratio of Equity Value to Forecasted Pre-Tax Income Year 2               EQVALFORECASTEDPTINC2          
Ratio of Equity Value to Forecasted Sales Current Fiscal Year           EQVALFORECASTEDSALES1          
Ratio of Equity Value to Forecasted Sales Next Twelve Months            EQVALFORECASTEDSALESNTM        
Ratio of Equity Value to Forecasted Sales Year 2                        EQVALFORECASTEDSALES2          
Ratio of Equity Value to Net Income                                     EQVALNI                        
Ratio of Equity Value to Pre-Tax Income                                 EQVALPTINC                     
Ratio of Equity Value to Sales                                          EQVALSALES                     
Ratio of Firm Value to Assets minus Cash                                FVASSC                         
Ratio of Firm Value to EBIT                                             FVEBIT                         
Ratio of Firm Value to EBITDA                                           FVCFLOW                        
Ratio of Firm Value to Sales                                            FVSALES                        
Ratio of Implied Deal Value to Common Equity                            VIMCOMEQ                       
Ratio of Implied Deal Value to Net Income                               VIMPNI                         
Ratio of Implied Deal Value to Pre-Tax Income                           VIMPPTINC                      
Ratio of Long Term Debt to Capitalization                               DCR                            
Ratio of Long Term Debt to Shareholder's Equity                         DSER                           
Ratio of Long Term Debt to Total Assets                                 LTDTASS                        
Ratio of Market Price 4 Weeks Prior to Announcement to Book Value       MPRICEBOOK                     
Ratio of Net Income to Shareholder's Equity                             ROE                            
Ratio of Net Income to Shareholder's Equity 1 Year Prior                ROE1                           
Ratio of Net Income to Shareholder's Equity 2 Years Prior               ROE2                           
Ratio of Net Income to Total Assets                                     ROA                            
Ratio of Net Income to Total Equity                                     ROEDBL                         
Ratio of Offer Price to Book Value                                      PRICEBOOK                      
Ratio of Offer Price to EPS                                             PE                             
Ratio of Pre-Tax Income to Net Sales                                    PFTMARG                        
Ratio of Price Book Premium to Book Value                               BVPREM                         
Ratio of Rank Value to EBIT (Operating Income)                          RANKVALEB                      
Ratio of Rank Value to EBITDA                                           RANKVALCF                      
Ratio of Rank Value to Forecasted EBIT Current Fiscal Year              RANKVALFORECASTEDEB1           
Ratio of Rank Value to Forecasted EBIT Next Twelve Months               RANKVALFORECASTEDEBNTM         
Ratio of Rank Value to Forecasted EBIT Year 2                           RANKVALFORECASTEDEB2           
Ratio of Rank Value to Forecasted EBITDA Current Fiscal Year            RANKVALFORECASTEDCF1           
Ratio of Rank Value to Forecasted EBITDA Next Twelve Months             RANKVALFORECASTEDCFNTM         
Ratio of Rank Value to Forecasted EBITDA Year 2                         RANKVALFORECASTEDCF2           
Ratio of Rank Value to Forecasted Net Income Current Fiscal Year        RANKVALFORECASTEDNI1           
Ratio of Rank Value to Forecasted Net Income Next Twelve Months         RANKVALFORECASTEDNINTM         
Ratio of Rank Value to Forecasted Net Income Year 2                     RANKVALFORECASTEDNI2           
Ratio of Rank Value to Forecasted Pre-Tax Income Current Fiscal Year    RANKVALFORECASTEDPTINC1        
Ratio of Rank Value to Forecasted Pre-Tax Income Next Twelve Months     RANKVALFORECASTEDPTINCNTM      
Ratio of Rank Value to Forecasted Pre-Tax Income Year 2                 RANKVALFORECASTEDPTINC2        
Ratio of Rank Value to Forecasted Sales Current Fiscal Year             RANKVALFORECASTEDSALES1        
Ratio of Rank Value to Forecasted Sales Next Twelve Months              RANKVALFORECASTEDSALESNTM      
Ratio of Rank Value to Forecasted Sales Year 2                          RANKVALFORECASTEDSALES2        
Ratio of Rank Value to Net Assets                                       RANKVALNA                      
Ratio of Rank Value to Net Income                                       RANKVALNI                      
Ratio of Rank Value to Sales                                            RANKVALSALES                   
Ratio of Share Price 4 Weeks Prior to Announcement to EPS               PE4WK                          
Ratio of Share Price to Net Assets per Share                            PRNA                           
Ratio of Shareholder's Equity to Total Assets                           SETASS                         
Ratio of Total Debt to Shareholders Equity (Gearing)                    GEARING                        
Reason for Relating                                                     REASON_RELATED                 
Recapitalization Flag (Y/N)                                             RECAP                          
Recapitalization Stub Value ($ Mil)                                     RECAPS                         
Regulatory Agencies Required to Approve Deal (Codes)                    AGENCYC                        
Related Alliance/JV Flag (Y/N)                                          RD_JV_FLAG                     
Related Alliance/JV: Date Announced                                     RD_JV_DATE                     
Related Alliance/JV: Name                                               RD_JV_NAME                     
Related Alliance/JV: Status (Code)                                      RD_JV_STC                      
Related Deal Number                                                     RELATED_DEAL_NUMBER            
Related Deal Type (Code)                                                RELATED_DEAL_TYPE              
Related Debt Coupon: Coupon Rate (%)                                    REL_BOND_C                     
Related Debt Maturity: Final Maturity Date                              REL_BOND_FMAT                  
Related Debt Ratings: Moodys Debt/Bank Loan Rating                      REL_BOND_QMOODY                
Related Debt S&P Rating                                                 REL_BOND_QSP                   
Related Debt/Equity Book Runner                                         REL_BOND_BOOK                  
Related Debt/Equity Book Runner (Codes Across the Page)                 REL_BOND_BOOK3                 
Related Debt/Equity Domicile Nation (Code)                              REL_NI_RANK_DOMICILE_NATION    
Related Debt/Equity Issue Type (Code)                                   REL_EQUITY_ISSUE_TYPE          
Related Debt/Equity Issuer 6-digit CUSIP                                REL_BOND_CUSIP                 
Related Debt/Equity Offer Date                                          REL_BOND_DATE                  
Related Debt/Equity Offer Yield to Maturity                             REL_NI_Y                       
Related Debt/Equity Package ID                                          REL_BOND_PACKAGE_ID            
Related Debt/Equity Proceeds Amount + Overallotment Sold All Markets (US$Mil) REL_BOND_RANK1_TOTDOLAMTPRO    
Related Debt/Equity Proceeds Amount + Overallotment Sold This Market (US$Mil) REL_EQUITY_PROOVSLD            
Related Debt/Equity Security Type (Code)                                REL_BOND_SECURC                
Related Debt/Equity Target Market (Code)                                REL_NI_TARGET_MARKET           
Related Debt/Equity Transaction Status                                  REL_NI_TRANS_STATUS            
Related Equity Description of Issue                                     REL_EQUITY_DESCR               
Related Equity Offer Price (Host)                                       REL_EQUITY_OFFERPRICE          
Related Exchange Offer/Debt Tender Flag (Y/N)                           RD_EO_FLAG                     
Related Exchange Offer/Debt Tender Offer Date                           RD_EO_DATE                     
Related Exchange Offer/Debt Tender: Company Name                        RD_EO_NAME                     
Related Exchange Offer/Debt Tender: Status (Code)                       RD_EO_STC                      
Related Financing Details Available Flag Y/N                            RELATED_DETAILS_YN             
Related IPO Flag (Y/N)                                                  RD_IPO_FLAG                    
Related IPO: Company Name                                               RD_IPO_NAME                    
Related IPO: Date                                                       RD_IPO_DATE                    
Related IPO: Offering Amount ($ Mil)                                    RD_IPO_AMT                     
Related Loan Book Runner                                                REL_LOAN_BOOK                  
Related Loan Book Runner (Codes Across the Page)                        REL_LOAN_BOOK3                 
Related Loan Borrower 6-digit CUSIP                                     REL_LOAN_CUSIP                 
Related Loan Dates: Financial Close Date                                REL_LOAN_FINCLOSE_DATE         
Related Loan Initial Pricing                                            REL_LOAN_INITIALPRICING        
Related Loan Maturity: Maturity Date                                    REL_LOAN_MAT                   
Related Loan Package Amount (US$ mil)                                   REL_LOAN_DEAL_AMOUNT           
Related Loan Proceeds Amount This Market (US$ Mil)                      REL_LOAN_PROCDS                
Related Loan Ratings: Moodys Long Term Corporate Debt Rating            REL_LOAN_LTD_MOODY_NUMBER      
Related Loan Ratings: S&P Long Term Corporate Debt Rating               REL_LOAN_LTD_SP_NUMBER         
Related Loan Status (Code)                                              REL_LOAN_STATUS                
Related Loan Target Market Nation (Code)                                REL_LOAN_TARGET_MKT_NATION     
Related Loan Type (Code)                                                REL_LOAN_TRANCHETYPECODE       
Related Loan Yield Type                                                 REL_LOAN_HIGH_YIELD            
Related M&A Deal Flag (Y/N)                                             RD                             
Related M&A Deal: Acquiror                                              RDACU                          
Related M&A Deal: Acquiror CIDGEN                                       RDACIDGEN                      
Related M&A Deal: Date Deal was Announced                               RDEALMADA                      
Related M&A Deal: Deal Status (Code)                                    RDSTATUSCODE                   
Related M&A Deal: Deal Type (Code)                                      RD_DEAL_TYPE                   
Related M&A Deal: Deal Value (Euro mil)                                 EURO_RDVAL                     
Related M&A Deal: Deal Value (Host Mil)                                 HOSTRDVAL                      
Related M&A Deal: Form (Code)                                           RDFORMCODE                     
Related M&A Deal: SDC Deal Number                                       RDCODE                         
Related M&A Deal: Target                                                RDTCU                          
Related M&A Deal: Target CIDGEN                                         RDTCIDGEN                      
Related M&A Deal: Value of Transaction ($ Mil)                          RDVAL                          
Related Poison Pill: Announcement Date                                  RD_PP_DATE                     
Related Poison Pill: Issuer Name                                        RD_PP_NAME                     
Related Poison Pill: Original Version Flag (Y/N)                        RD_PP_ORIG                     
Related Poison Pill: Pill Status (Code)                                 RD_PP_STC                      
Related Poison Pill: SDC Deal Number                                    RD_DEALNO                      
Related Proxy Fight: Date Announced                                     RD_PF_DATE                     
Related Proxy Fight: Target Name                                        RD_PF_NAME                     
Repurchase Flag (Y/N)                                                   REPURCH                        
Research & Development Expense 1 Year Prior ($ Mil)                     RND1                           
Research & Development Expense 1 Year Prior (Host Mil)                  HOSTRND1                       
Research & Development Expense 2 Years Prior ($ Mil)                    RND2                           
Research & Development Expense 2 Years Prior (Host Mil)                 HOSTRND2                       
Research & Development Expense 3 Years Prior ($ Mil)                    RND3                           
Research & Development Expense 3 Years Prior (Host Mil)                 HOSTRND3                       
Research & Development Expense 4 Years Prior ($ Mil)                    RND4                           
Research & Development Expense 4 Years Prior (Host Mil)                 HOSTRND4                       
Research & Development Expense 5 Years Prior ($ Mil)                    RND5                           
Research & Development Expense 5 Years Prior (Host Mil)                 HOSTRND5                       
Research & Development Expense Last Twelve Months ($ Mil)               RND                            
Research & Development Expense Last Twelve Months (Host Mil)            HOSTRNDLTM                     
Research & Development Expense Most Recent Quarter ($ Mil)              RNDLQ                          
Research & Development Expense Same Quarter 1 Year Prior ($ Mil)        RNDFQ                          
Restructuring Flag (Y/N)                                                RESTR                          
Restructuring Value ($ Mil)                                             RESTRUCTURINGVAL               
Restructuring Value (Host Mil)                                          HOST_RESTRUCTURINGVAL          
Reverse LBO Flag (Y/N)                                                  IPO                            
Reverse Takeover Flag (Y/N)                                             REVERSE                        
Rumored Deal Flag (Y/N)                                                 RUM                            
S&P 400 at Announcement                                                 SP400DA                        
S&P 400 at Yesterday's Date                                             SP400DPS                       
S&P 500 at Announcement                                                 SP500DA                        
S&P 500 at Yesterday's Date                                             SP500DPS                       
Sale and LeaseBack Flag (Y/N)                                           SALE_LEASEBACK_FLAG            
Sales Forecast (Host Mil)                                               HOSTTOFORECAST                 
SDC Deal No                                                             DEAL_NO                        
SDC Deal Type                                                           MASTER_DEAL_TYPE               
Secondary Buyout Flag (Y/N)                                             SBO                            
Secondary Escrow % of Rank Value                                        ESCROW2_PCT                    
Secondary Escrow Basis (UPPER CASE)                                     ESCROW2_BASIS_UPPER            
Secondary Escrow Period (Months)                                        ESCROW2_PERIOD                 
Secondary Escrow Total (Host)                                           ESCROW2_AMT                    
Secondary Escrow Total (USD)                                            ESCROW2_AMT_USD                
Self-Tender Flag (Y/N)                                                  STEND                          
Seller 6-digit Cusip                                                    SELLCUSIP                      
Seller Immediate Parent 6-digit Cusip                                   SIP                            
Seller Immediate Parent Cidgen                                          SIPCIDGEN                      
Seller Immediate Parent is a Financial Sponsor (Y/N)                    SIPFINANCIAL                   
Seller is a Financial Sponsor (Y/N)                                     SELLFINANCIAL                  
Seller Macro Industry (Code)                                            SELL_TTF_MACRO_CODE            
Seller Mid Industry (Code)                                              SELL_TTF_MID_CODE              
Seller Nation (Code)                                                    SELLNATION_CODE                
Seller Nation Region (Code)                                             SELLER_NAT_REGION              
Seller Primary NAIC (Code)                                              SELLNAICP                      
Seller SIC (Code)                                                       SELLSICP                       
Seller Ultimate Parent 6-digit Cusip                                    SUPCUSIP                       
Seller Ultimate Parent is a Financial Sponsor (Y/N)                     SELLUPFINANCIAL                
Seller Ultimate Parent Macro Industry (Code)                            SELL_TUP_MACRO_CODE            
Seller Ultimate Parent Mid Industry (Code)                              SELL_TUP_MID_CODE              
Seller Ultimate Parent Nation (Code)                                    SUPNATION_CODE                 
Seller Ultimate Parent Primary NAIC (Code)                              SELLUPNAICP                    
Seller Ultimate Parent SIC (Code)                                       SUPSICP                        
Sellers of a Minority Interest                                          SCUTIC                         
Sellers of a Minority Interest Flag (Y/N)                               SELLER_YN                      
Sellside Hedge Fund Involvement (Y/N)                                   SELLSIDE_HEDGE_FUND_INVOLV_YN  
Sellside Infrastructure Fund Involvement (Y/N)                          SELLSIDE_INFRA_FUND_INVOLV_YN  
Sellside: Any Red Chip Company Involvement Y/N                          SELLSIDE_RED_CHIP_INVOLV_YN    
Sellside: Financial Sponsor Activity Flag (Y/N)                         SELLSIDE_INVOLV_YN             
Sellside:Government Owned Involvement Flag (Y/N)                        SELLSIDE_GOV_OWN_INVOLV_YN     
Sellside:Sovereign Wealth Fund Involvement Flag (Y/N)                   SELLSIDE_SWF_INVOLV_YN         
Share Price of Alternative Offer ($)                                    PRALT                          
Share Price of Alternative Offer (Euro)                                 EURO_PRALT                     
Share Price of Alternative Offer (Host)                                 HOSTPRALT                      
Share Price Paid by Acquiror for Target Shares ($)                      PR                             
Share Price Paid by Acquiror for Target Shares (Euro)                   EURO_PR                        
Share Price Paid by Acquiror for Target Shares (Host)                   HOSTPR                         
Share Price per Preference Share (Euro)                                 EURO_PRPREF                    
Share Price per Preference Share (Host)                                 HOSTPRPREF                     
Share Price per Preference Share of Alternative Offer (Euro)            EURO_PRALTPREF                 
Share Price per Preference Share of Alternative Offer (Host)            HOSTPRALTPREF                  
Shareholder's Equity ($ Mil)                                            SE                             
Shareholder's Equity (Euro Mil)                                         EMU_HOSTSE                     
Shareholder's Equity (Host Mil)                                         HOSTSE                         
Shares Accepted (Mil)                                                   SHACC                          
Shares Tendered (Mil)                                                   SHTEN                          
Short Term Debt Last Twelve Months ($ Mil)                              STD                            
Short Term Debt Last Twelve Months (Euro mil)                           EURO_STD                       
Short Term Debt Last Twelve Months (Host Mil)                           HOSTSTD                        
Source of Funds used to Finance Deal (Codes)                            MENUSF                         
Source of Funds used to Finance Deal (Text Paragraph)                   SF                             
Source of Restructuring Value (Codes)                                   RESTRUCTURING_SRC              
Source used for Deal Valuation (Code)                                   VALSRC                         
Sources of Deal Info (Codes)                                            SRCC                           
Sources of Target Company Info (Codes)                                  TCOMPSRCCODE                   
Sources of Target Financial Info (Codes)                                FINSRCC                        
Sovereign Wealth Fund Involvement Flag (Y/N)                            SWF_INVOLV_YN                  
Sovereign Wealth Fund Name                                              SWF_CUSIP                      
Sovereign Wealth Fund Role                                              SWF_ROLE                       
Special Committee Description (UPPER CASE)                              SPEC_CMTE_DESC_UPPER           
Special Committee Flag (Y/N)                                            SPEC_CMTE                      
Specific Deal                                                           DEALNO                         
